Fighter Name,Division,Record,Height,Weight,Reach,Stance,DOB,Team,First_last_last3,First_last_last4,First_last_last5,First_last_last6,First_last_last7,First_last_last8,First_last_last9,First_last_last10,Striking Accuracy,Sig. Strikes Landed,Sig. Strikes Attempted,Sig. Strikes Landed Per Min,Sig. Strikes Absorbed Per Min,Takedown Accuracy,Takedowns Landed,Takedowns Attempted,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Wins by KO/TKO,Wins by Submission,Wins by Decision,Losses by KO/TKO,Losses by Submission,Losses by Decision,Win Streak,Last Fight Date,Last Fight Opponent,Last Fight Result,Last Fight Method,Last Fight Round,Last Fight Time
David Onama,Featherweight,14-2-0,5' 11\,,74\,Orthodox,6/7/1994 (31),FactoryX Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Teymur,Lightweight,8-2-0,,,73\,Southpaw,5/1/1989,Allstars Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deiveson Figueiredo,Bantamweight,24-5-1,5' 5\,,68\,Orthodox,12/18/1987 (37),Team Figueiredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denise Gomes,Women's Strawweight,11-3-0,5' 2\,,63\,Orthodox,12/30/1999 (25),Parana Vale Tudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Buzukja,Featherweight,12-5-0,5' 9\,,70.5\,Switch,10/1/1997 (27),Serra-Longo Fight Team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Lewis,Heavyweight,29-12-0,6' 3\,,79\,Orthodox,2/7/1985 (40),Silverback Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Ferreira,Lightweight,19-6-0,5' 9\,,74\,Orthodox,1/18/1985 (40),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Lopes,Featherweight,26-7-0,5' 11\,,72.5\,Orthodox,12/30/1994 (30),Lobo Gym MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dione Barbosa,Women's Flyweight,8-3-0,5' 6\,,66\,Orthodox,5/8/1992 (33),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diyar Nurgozhay,Light Heavyweight,10-1-0,6' 2\,,74\,Southpaw,4/22/1997 (28),Arlan MMA Pro Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djorden Santos,Middleweight,10-2-0,6' 0\,,75.5\,Orthodox,8/1/1997 (27),JAB Promotions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominick Reyes,Light Heavyweight,15-4-0,6' 4\,,77\,Southpaw,12/26/1989 (35),Joe Stevenson's Cobra Kai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dooho Choi,Featherweight,16-4-1,5' 10\,,70\,Orthodox,4/10/1991 (34),Busan Team M.A.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drakkar Klose,Lightweight,15-3-1,5' 9\,,70\,Orthodox,3/9/1988 (37),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Dober,Lightweight,27-15-0,5' 8\,,70\,Southpaw,10/19/1988 (36),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dricus Du Plessis,Middleweight,23-2-0,6' 1\,,76\,Switch,1/14/1994 (31),CIT Performance Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusko Todorovic,Middleweight,12-6-0,6' 1\,,74\,Orthodox,5/19/1994 (31),Secutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Jacoby,Light Heavyweight,21-9-1,6' 3\,,76\,Orthodox,4/4/1988 (37),FactoryX Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Poirier,Lightweight,30-10-0,5' 9\,,72\,Southpaw,1/19/1989 (36),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Stoltzfus,Middleweight,16-7-0,6' 0\,,75\,Orthodox,11/15/1991 (33),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Chairez,Flyweight,12-6-0,5' 7\,,71\,Orthodox,1/27/1996 (29),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmen Shahbazyan,Middleweight,15-5-0,6' 2\,,75\,Orthodox,11/20/1997 (27),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edson Barboza,Lightweight,24-12-0,5' 11\,,75\,Orthodox,1/21/1986 (39),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduarda Moura,Women's Flyweight,12-1-0,5' 6\,,66\,Orthodox,2/28/1994 (31),Galpao Da Luta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Smith,Bantamweight,8-1-0,5' 9\,,71\,Orthodox,9/5/2002 (22),Victory MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise Reed,Women's Strawweight,8-5-0,5' 3\,,63\,Orthodox,12/5/1992 (32),Kickside Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Ellison,Heavyweight,5-1-0,,,,,3/5/1997 (28),Combat Sport and Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elves Brener,Lightweight,16-5-0,5' 10\,,72.5\,Orthodox,9/27/1997 (27),Chute Boxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Silva,Featherweight,9-3-0,5' 9\,,71\,Orthodox,3/16/1987 (38),Antonio Silva Martial Arts School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erin Blanchfield,Women's Flyweight,13-2-0,5' 4\,,66\,Orthodox,5/4/1999 (26),Silver Fox BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernesta Kareckaite,Women's Flyweight,6-1-1,5' 9\,,71\,Orthodox,6/5/1998 (27),Fighters Land MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eryk Anders,Middleweight,17-8-0,6' 1\,,75\,Southpaw,4/21/1987 (38),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Ribovics,Lightweight,14-2-0,5' 10\,,69\,Orthodox,4/27/1996 (29),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Elder,Lightweight,10-2-0,5' 10\,,72\,Switch,4/11/1997 (28),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Ziam,Lightweight,17-4-0,6' 1\,,75\,Orthodox,3/21/1997 (28),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Basharat,Featherweight,13-0-0,5' 8\,,71\,Orthodox,8/2/1997 (27),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima Kline,Women's Strawweight,8-1-0,5' 6\,,67.5\,Orthodox,7/12/2000 (25),Silver Fox BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Bunes,Flyweight,14-7-0,5' 7\,,69\,Orthodox,10/26/1989 (35),Pitbull Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Lima,Bantamweight,14-2-0,5' 6\,,68\,Orthodox,5/7/1998 (27),Allstars Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feng Xiaocan,Women's Strawweight,10-3-0,5' 7\,,66.5\,Southpaw,12/27/2001 (23),Chunbo Fighting Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Padilla,Featherweight,16-6-0,6' 1\,,76\,Orthodox,12/15/1996 (28),Team Oyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Marshall,Featherweight,8-3-0,5' 9\,,72\,Orthodox,3/9/1999 (26),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Prado,Welterweight,12-4-0,5' 10\,,69\,Orthodox,6/16/2002 (23),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankie Saenz,Bantamweight,13-7-0,,,66\,Orthodox,8/12/1980,Fight Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe Green,Lightweight,12-5-0,5' 10\,,73\,Switch,5/2/1993 (32),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Bonfim,Welterweight,18-1-0,6' 1\,,72.5\,Orthodox,8/20/1997 (27),Cerrado MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Santos,Featherweight,12-2-0,5' 9\,,70\,Orthodox,11/28/1996 (28),Evolucao Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriella Fernandes,Women's Flyweight,10-3-0,5' 6\,,66\,Southpaw,8/13/1993 (31),MMA Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Armfield,Bantamweight,10-5-0,5' 6\,,70\,Orthodox,10/9/1996 (28),Marathon MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaston Bolanos,Bantamweight,8-5-0,5' 7\,,69\,Orthodox,9/14/1992 (32),Combat Sports Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge Young,Lightweight,9-3-0,5' 9\,,70\,Orthodox,7/14/2000 (25),Ignite Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Tucker,Featherweight,13-3-0,5' 6\,,66\,Southpaw,6/17/1986 (39),Titans MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Neal,Welterweight,16-6-0,5' 11\,,75\,Southpaw,8/28/1990 (34),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Mangos,Featherweight,7-0-0,5' 10\,,70.9\,,8/13/2003 (21),Lion's Den,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Meerschaert,Middleweight,37-19-0,6' 1\,,77\,Southpaw,12/18/1987 (37),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giga Chikadze,Featherweight,15-5-0,6' 0\,,74\,Orthodox,8/25/1988 (36),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Burns,Welterweight,22-9-0,5' 10\,,71\,Orthodox,7/20/1986 (39),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Urbina,Welterweight,7-4-0,6' 3\,,75\,Orthodox,4/5/1996 (29),BMF Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillian Robertson,Women's Strawweight,16-8-0,5' 5\,,63\,Orthodox,5/17/1995 (30),The Goat Shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Dawson,Lightweight,23-2-1,5' 10\,,72\,Switch,2/20/1994 (31),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Rodrigues,Middleweight,17-6-0,6' 3\,,75\,Orthodox,2/17/1992 (33),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilherme Uriel,Heavyweight,6-1-0,6' 1\,,,,2/18/1997 (28),Evolution Combat MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Nelson,Welterweight,19-6-1,5' 11\,,72\,Switch,7/28/1988 (37),Mjolnir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hailey Cowan,Women's Bantamweight,7-4-0,5' 8\,,67\,Southpaw,2/12/1992 (33),Blitz Sport MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamdy Abdelwahab,Heavyweight,6-1-0,6' 2\,,72\,Southpaw,1/22/1993 (32),Killer B Combat Sports Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Cejudo,Bantamweight,16-5-0,5' 4\,,64\,Orthodox,2/9/1987 (38),Fight Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyder Amil,Featherweight,11-1-0,5' 9\,,70\,Switch,5/28/1990 (35),Skrap Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Machado Garry,Welterweight,16-1-0,6' 3\,,74.5\,Orthodox,11/17/1997 (27),Chute Boxe - Diego Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iasmin Lucindo,Women's Strawweight,17-6-0,5' 3\,,66\,Orthodox,1/8/2002 (23),Academia Fight House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibo Aslan,Light Heavyweight,14-3-0,6' 3\,,77.5\,Orthodox,4/23/1996 (29),Gym 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ignacio Bahamondes,Lightweight,17-6-0,6' 3\,,75\,Orthodox,8/27/1997 (27),Valle Flow Striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikram Aliskerov,Middleweight,16-2-0,6' 0\,,76\,Southpaw,12/7/1992 (32),KHK MMA Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Lightweight,17-0-0,5' 7\,,69\,Orthodox,1/21/1997 (28),Climent Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilian Bouafia,Middleweight,6-0-0,6' 5\,,,,11/13/1996 (28),Boxing Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion Cutelaba,Light Heavyweight,19-11-1,6' 1\,,75\,Southpaw,12/14/1993 (31),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene Aldana,Women's Bantamweight,15-8-0,5' 9\,,68.5\,Orthodox,3/26/1988 (37),Lobo Gym MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irina Alekseeva,Women's Bantamweight,5-3-0,5' 8\,,67\,Orthodox,6/27/1990 (35),Rati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Dulgarian,Featherweight,7-1-0,5' 7\,,71\,Orthodox,7/4/1996 (29),FactoryX Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islam Dulatov,Welterweight,12-1-0,6' 3\,,75\,Orthodox,8/2/1998 (26),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islam Makhachev,Lightweight,27-1-0,5' 10\,,70.5\,Southpaw,10/27/1991 (33),Eagles MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismael Bonfim,Lightweight,20-5-0,5' 8\,,71.5\,Orthodox,12/28/1995 (29),Cerrado MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismail Naurdiev,Middleweight,24-8-0,5' 10\,,74\,Orthodox,8/18/1996 (28),Top Team Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Adesanya,Middleweight,24-5-0,6' 4\,,80\,Switch,7/22/1989 (36),City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Erslan,Light Heavyweight,14-5-0,6' 2\,,72.5\,Orthodox,11/15/1991 (33),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Becker,Lightweight,0-3-0,5' 10\,,,,12/20/1992 (32),TriStar Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Della Maddalena,Welterweight,18-2-0,5' 11\,,73\,Switch,9/10/1996 (28),Scrappy MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hermansson,Middleweight,24-9-0,6' 1\,,77.5\,Orthodox,6/10/1988 (37),Frontline Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jenkins,Featherweight,13-4-0,5' 7\,,68\,Switch,11/3/1993 (31),Absolute Mixed Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Malkoun,Middleweight,8-3-0,5' 9\,,73\,Orthodox,8/26/1995 (29),PMA Super Martial Arts Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobe Smith,Welterweight,11-0-0,6' 2\,,72\,Southpaw,1/17/1996 (29),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacqueline Cavalcanti,Women's Bantamweight,9-1-0,5' 8\,,70\,Orthodox,8/29/1997 (27),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jafel Filho,Flyweight,16-4-0,5' 7\,,68.5\,Orthodox,5/5/1993 (32),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jai Herbert,Lightweight,13-6-1,6' 1\,,77\,Orthodox,5/13/1988 (37),Renegade MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jailton Almeida,Heavyweight,22-3-0,6' 3\,,79\,Orthodox,6/26/1991 (34),Galpao Da Luta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Matthews,Welterweight,22-7-0,5' 11\,,73\,Orthodox,8/19/1994 (30),Nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamahal Hill,Light Heavyweight,12-4-0,6' 4\,,79\,Southpaw,5/19/1991 (34),Black Lion Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamall Emmers,Featherweight,21-8-0,5' 10\,,74\,Orthodox,7/24/1989 (36),Pinnacle MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Mullarkey,Lightweight,17-8-0,6' 0\,,74\,Orthodox,8/17/1994 (30),Bangtao Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Blachowicz,Light Heavyweight,29-11-1,6' 2\,,78\,Orthodox,2/24/1983 (42),Berkut WCA Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaqueline Amorim,Women's Strawweight,10-1-0,5' 3\,,68\,Orthodox,6/24/1995 (30),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Cannonier,Middleweight,18-8-0,5' 11\,,77.5\,Switch,3/16/1984 (41),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Gordon,Lightweight,21-7-0,5' 9\,,68\,Orthodox,9/6/1988 (36),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasmine Jasudavicius,Women's Flyweight,14-3-0,5' 7\,,68\,Orthodox,3/1/1989 (36),Niagara Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javid Basharat,Bantamweight,14-2-0,5' 9\,,69\,Orthodox,9/7/1995 (29),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Matsumoto,Bantamweight,16-1-0,5' 6\,,68.5\,Orthodox,9/9/1999 (25),Inside Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Silva,Featherweight,0-1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Wells,Welterweight,12-4-1,5' 9\,,74\,Switch,10/30/1986 (38),Renzo Gracie Philly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Stephens,Lightweight,29-22-0,5' 9\,,71\,Orthodox,5/25/1986 (39),Alliance MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Andrade,Women's Strawweight,26-14-0,5' 1\,,62\,Orthodox,9/25/1991 (33),Parana Vale Tudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus Aguilar,Flyweight,11-3-0,5' 4\,,62.5\,Orthodox,3/13/1996 (29),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhonata Diniz,Heavyweight,9-1-0,6' 4\,,79.5\,Orthodox,6/23/1991 (34),Santa Fe Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Miller,Lightweight,38-19-0,5' 8\,,71\,Southpaw,8/30/1983 (41),Sussex County MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Crute,Light Heavyweight,13-4-2,6' 2\,,74\,Orthodox,3/4/1996 (29),Greco and Stewie's House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Drago,Welterweight,7-2-0,5' 11\,,,,2/18/1995 (30),Ataque Duplo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin Aoi,Featherweight,0-1-0,5' 7\,,,,1/21/1997 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiri Prochazka,Light Heavyweight,31-5-1,6' 3\,,80\,Orthodox,10/14/1992 (32),Jetsaam Gym Brno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanderson Brito,Featherweight,17-5-1,5' 8\,,72\,Orthodox,2/11/1995 (30),Chute Boxe - Joao Emilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquim Silva,Lightweight,13-6-0,5' 8\,,69\,Southpaw,2/5/1989 (36),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Buckley,Welterweight,21-7-0,5' 10\,,76\,Southpaw,4/27/1994 (31),Murcielago MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Lauzon,Lightweight,28-16-0,,,71.5\,Orthodox,5/22/1984,Lauzon MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Pyfer,Middleweight,14-3-0,6' 2\,,75\,Orthodox,9/17/1996 (28),Marquez MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Alvarez,Lightweight,22-3-0,6' 3\,,77\,Orthodox,3/2/1993 (32),Centro Deportivo Tibet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Castaneda,Featherweight,21-8-0,5' 6\,,71\,Switch,12/18/1991 (33),The Academy MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Walker,Light Heavyweight,21-9-0,6' 6\,,82\,Orthodox,3/30/1992 (33),SBG Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Kunneman,Middleweight,10-0-0,6' 0\,,77\,,7/14/1999 (26),Jackson-Wink MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Martinez,Bantamweight,19-6-0,5' 8\,,70\,Southpaw,4/20/1994 (31),MTZ Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Micallef,Welterweight,8-1-0,6' 0\,,77\,Southpaw,3/5/1999 (26),Combat 1 MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Parsons,Welterweight,9-3-0,5' 9\,,69\,Orthodox,9/6/1991 (33),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Leavitt,Lightweight,12-3-0,5' 9\,,71\,Southpaw,6/2/1995 (30),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Daniel Medina,Middleweight,11-5-0,6' 0\,,74.5\,Orthodox,5/17/1991 (34),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Delano,Featherweight,15-3-0,5' 8\,,,,9/11/1996 (28),Brazilian Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Delgado,Featherweight,10-1-0,5' 11\,,74\,Switch,4/21/1998 (27),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Ochoa,Flyweight,8-2-0,5' 7\,,67\,Southpaw,12/31/2000 (24),Chute Boxe - Diego Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joselyne Edwards,Women's Bantamweight,15-6-0,5' 8\,,70\,Orthodox,9/29/1995 (29),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Emmett,Featherweight,19-5-0,5' 6\,,70\,Orthodox,3/4/1985 (40),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Van,Flyweight,15-2-0,5' 5\,,65\,Orthodox,10/10/2001 (23),4oz Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josiane Nunes,Women's Bantamweight,10-4-0,5' 2\,,67\,Southpaw,12/23/1993 (31),Striker's House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josias Musasa,Bantamweight,8-1-0,5' 8\,,74\,Southpaw,10/10/1998 (26),Elite Training Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Polastri,Women's Strawweight,13-5-0,5' 2\,,63\,Orthodox,3/5/1998 (27),CWB Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Erosa,Featherweight,31-13-0,6' 1\,,74.5\,Southpaw,7/31/1989 (35),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliana Miller,Women's Flyweight,5-3-0,5' 7\,,66\,Orthodox,5/7/1996 (29),10th Planet Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julianna Pena,Women's Bantamweight,13-6-0,5' 6\,,69\,Orthodox,8/19/1989 (35),Valle Flow Striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julija Stoliarenko,Women's Flyweight,11-9-2,5' 7\,,66\,Orthodox,4/8/1993 (32),Fighter House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Walker,Light Heavyweight,6-1-0,6' 4\,,78\,Orthodox,7/16/1999 (26),Team Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Tafa,Light Heavyweight,6-4-0,6' 3\,,75\,Orthodox,9/21/1996 (28),NTG Fight & Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Gaethje,Lightweight,26-5-0,5' 11\,,70\,Orthodox,11/14/1988 (36),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Tafa,Heavyweight,7-5-0,6' 0\,,74\,Southpaw,12/13/1993 (31),NTG Fight & Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaan Ofli,Featherweight,12-4-1,5' 7\,,66\,Orthodox,6/19/1993 (32),Australian Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
